Symbol,Price Change,Price Change Percent,Weighted Average Price,Previous Close Price,Last Price,Last Quantity,Bid Price,Bid Quantity,Ask Price,Ask Quantity,Open Price,High Price,Low Price,Volume,Quote Volume,Open Time,Close Time,First Id,Last Id,Count
HIVEBUSD,-0.00870000,-3.058,0.27796170,0.28520000,0.27580000,114.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.28450000,0.28730000,0.27190000,71436.00000000,19856.47210000,1693450813179,1693537213179,3086330,3086575,246
STPTBUSD,0.00000000,0.000,0.00000000,0.04185000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572382654,1689658782654,-1,-1,0
BETABTC,-0.00000017,-8.718,0.00000184,0.00000196,0.00000178,2929.00000000,0.00000178,3584.00000000,0.00000179,4758.00000000,0.00000195,0.00000199,0.00000172,753912.00000000,1.38977105,1700564503013,1700650903013,2663549,2664595,1047
BETABNB,-0.00001100,-3.179,0.00033673,0.00034220,0.00033500,131.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00034600,0.00034600,0.00033110,26811.00000000,9.02798650,1692154802516,1692241202516,984406,984446,41
BETABUSD,-0.00196000,-2.992,0.06337991,0.06590000,0.06354000,621.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06550000,0.06608000,0.06184000,349861.00000000,22174.15913000,1698303614372,1698390014372,10570747,10570955,209
BETAUSDT,-0.00749000,-10.274,0.06843281,0.07290000,0.06541000,4151.00000000,0.06537000,451.00000000,0.06540000,606.00000000,0.07290000,0.07432000,0.06250000,47003909.00000000,3216609.33948000,1700564506807,1700650906807,27058642,27098605,39964
SHIBAUD,0.00000000,0.000,0.00000000,0.00001121,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00000000,0.00000000,0.00,0.00000000,1689572382654,1689658782654,-1,-1,0
RAREBTC,-0.00000007,-3.665,0.00000194,0.00000192,0.00000184,2380.60000000,0.00000183,17244.30000000,0.00000184,22055.60000000,0.00000191,0.00000211,0.00000180,5149122.30000000,9.97891436,1700564505531,1700650905531,2253318,2259266,5949
RAREBNB,0.00000000,0.000,0.00000000,0.00069100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572382654,1689658782654,-1,-1,0
RAREBUSD,-0.00090000,-1.488,0.05973510,0.06040000,0.05960000,13885.40000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06050000,0.06110000,0.05910000,56537.00000000,3377.24362000,1696489218838,1696575618838,5223261,5223302,42
RAREUSDT,-0.00430000,-6.031,0.07124785,0.07130000,0.06700000,6028.10000000,0.06700000,4850.70000000,0.06710000,16600.50000000,0.07130000,0.07550000,0.06510000,86408453.60000000,6156416.21975000,1700564506142,1700650906142,13905869,13948692,42824
AVAXBRL,-5.80000000,-5.487,103.44949574,105.20000000,99.90000000,10.93000000,99.60000000,9.87000000,99.80000000,9.90000000,105.70000000,109.70000000,93.30000000,18881.26000000,1953256.82600000,1700564499239,1700650899239,669273,670927,1655
AVAXAUD,0.00000000,0.000,0.00000000,17.91000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572382654,1689658782654,-1,-1,0
LUNAAUD,0.00000000,0.000,0.00000000,0.00009000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572382654,1689658782654,-1,-1,0
TROYBUSD,0.00000700,0.309,0.00228316,0.00223600,0.00226900,44072.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00226200,0.00232000,0.00222800,12677008.00000000,28943.65205700,1694674809617,1694761209617,4549823,4549999,177
AXSETH,-0.00025500,-8.263,0.00291843,0.00308700,0.00283100,1.03300000,0.00282900,0.39200000,0.00283000,51.08900000,0.00308600,0.00309000,0.00281400,47187.50800000,137.71323279,1700564504922,1700650904922,1619702,1621494,1793
FTMETH,-0.00000900,-5.856,0.00014867,0.00015470,0.00014470,581.40000000,0.00014460,3038.90000000,0.00014470,4925.80000000,0.00015370,0.00015480,0.00014380,1023640.50000000,152.18553360,1700564505717,1700650905717,2246267,2247360,1094
SOLETH,-0.00109000,-3.863,0.02737141,0.02820000,0.02713000,2.72800000,0.02712000,53.02300000,0.02714000,46.60300000,0.02822000,0.02824000,0.02646000,65889.33500000,1803.48394613,1700564502885,1700650902885,5694208,5706153,11946
SSVBTC,0.00000450,0.956,0.00045941,0.00047150,0.00047510,1.12000000,0.00047430,43.03000000,0.00047570,2.60000000,0.00047060,0.00048900,0.00043410,12361.70000000,5.67907828,1700564506318,1700650906318,3811112,3813757,2646
SSVETH,-0.00015500,-1.775,0.00844956,0.00873500,0.00857900,16.71000000,0.00857900,49.25000000,0.00859800,1.08000000,0.00873400,0.00885800,0.00813500,3098.39000000,26.18003557,1700564494200,1700650894200,1503301,1504308,1008
LAZIOTRY,-4.72000000,-8.506,52.53049958,55.45000000,50.77000000,29.53000000,50.77000000,6.78000000,50.80000000,36.13000000,55.49000000,55.68000000,49.58000000,216466.44000000,11371090.23460000,1700564507109,1700650907109,13293206,13296673,3468
LAZIOEUR,-0.14600000,-8.400,1.68418774,1.74200000,1.59200000,33.72000000,1.59700000,57.52000000,1.60700000,210.74000000,1.73800000,1.74700000,1.58500000,15387.86000000,25916.04518000,1700564461614,1700650861614,427200,427482,283
LAZIOBTC,-0.00000333,-6.528,0.00004884,0.00005088,0.00004768,10.52000000,0.00004746,69.38000000,0.00004767,12.00000000,0.00005101,0.00005163,0.00004695,8709.56000000,0.42533377,1700564507087,1700650907087,2319780,2320289,510
LAZIOUSDT,-0.16000000,-8.408,1.79696891,1.90400000,1.74300000,101.39000000,1.74000000,95.48000000,1.74300000,286.55000000,1.90300000,1.91900000,1.70000000,838576.94000000,1506896.68959000,1700564507109,1700650907109,23908425,23922650,14226
CHESSBTC,0.00000031,7.452,0.00000448,0.00000408,0.00000447,2336.00000000,0.00000445,509.60000000,0.00000447,212.40000000,0.00000416,0.00000495,0.00000408,1684721.80000000,7.55204176,1700564493695,1700650893695,2204199,2209127,4929
CHESSBNB,0.00000000,0.000,0.00000000,0.00188500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572382654,1689658782654,-1,-1,0
CHESSBUSD,0.00030000,0.251,0.11901876,0.11970000,0.12000000,183.40000000,0.00000000,0.00000000,0.00000000,0.00000000,0.11970000,0.12100000,0.11780000,76743.00000000,9133.85651000,1697691631974,1697778031974,5691464,5691587,124
CHESSUSDT,0.00980000,6.360,0.16610172,0.15400000,0.16390000,37.30000000,0.16360000,1981.20000000,0.16390000,3403.60000000,0.15410000,0.18350000,0.15010000,68925287.00000000,11448608.95107000,1700564506253,1700650906253,15021905,15120917,99013
FTMAUD,0.00000000,0.000,0.00000000,0.42000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572382654,1689658782654,-1,-1,0
FTMBRL,0.00000000,0.000,0.00000000,1.92300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572382654,1689658782654,-1,-1,0
SCRTBUSD,0.00570000,2.216,0.25907431,0.25880000,0.26290000,51.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.25720000,0.26380000,0.25150000,56329.60000000,14593.55202000,1694070027058,1694156427058,6249598,6249770,173
ADXUSDT,-0.00800000,-5.092,0.15046359,0.15730000,0.14910000,4550.00000000,0.14900000,84911.00000000,0.14910000,172.00000000,0.15710000,0.15720000,0.14500000,11265202.00000000,1695002.70250000,1700564498747,1700650898747,8160979,8165444,4466
AUCTIONUSDT,-1.07000000,-10.797,8.97004667,9.91000000,8.84000000,12.61000000,8.83000000,18.46000000,8.84000000,152.36000000,9.91000000,9.92000000,8.34000000,585604.82000000,5252902.56750000,1700564500610,1700650900610,10199275,10224084,24810
CELOBUSD,-0.01400000,-2.893,0.47452346,0.48500000,0.47000000,117.90000000,0.00000000,0.00000000,0.00000000,0.00000000,0.48400000,0.49100000,0.46100000,93659.50000000,44443.63040000,1698303618663,1698390018663,3577569,3578003,435
FTMRUB,0.00000000,0.000,0.00000000,36.85000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572382654,1689658782654,-1,-1,0
NUAUD,0.00000000,0.000,0.00000000,0.76900000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572382654,1689658782654,-1,-1,0
NURUB,0.00000000,0.000,0.00000000,41.13000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572382654,1689658782654,-1,-1,0
REEFTRY,-0.00266000,-5.636,0.04476304,0.04717000,0.04454000,224.00000000,0.04447000,319384.00000000,0.04451000,327546.00000000,0.04720000,0.04720000,0.04200000,263823316.00000000,11809534.90564000,1700564506496,1700650906496,5853021,5857232,4212
REEFBIDR,0.00,0.000,0.00,162.00,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00,0.00,0.00000000,0.00,1689572382654,1689658782654,-1,-1,0
SHIBDOGE,-0.00000130,-1.200,0.00010807,0.00010830,0.00010700,14942714.00,0.00010690,59540099.00,0.00010710,8220000.00,0.00010830,0.00010940,0.00010670,24710163101.00,2670449.36156680,1700564506277,1700650906277,6609336,6613078,3743
DARUSDT,-0.00948000,-8.433,0.10486088,0.11248000,0.10294000,273.00000000,0.10290000,1070.00000000,0.10295000,1611.00000000,0.11242000,0.11242000,0.09844000,31027581.00000000,3253579.31281000,1700564504512,1700650904512,46146052,46178449,32398
DARBUSD,0.00034000,0.427,0.07950367,0.07947000,0.07995000,284.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.07961000,0.08095000,0.07804000,259703.00000000,20647.34241000,1697090423670,1697176823670,11326160,11326506,347
DARBNB,0.00000635,1.476,0.00042628,0.00043257,0.00043657,38.00000000,0.00043553,973.00000000,0.00043744,834.00000000,0.00043022,0.00044403,0.00040519,712120.00000000,303.56214401,1700564504618,1700650904618,1964070,1965256,1187
DARBTC,-0.00000018,-6.000,0.00000283,0.00000301,0.00000282,81.00000000,0.00000280,8439.00000000,0.00000281,1979.00000000,0.00000300,0.00000303,0.00000271,367549.00000000,1.04102986,1700564505924,1700650905924,3226378,3227628,1251
BNXBTC,-0.00000040,-5.076,0.00000780,0.00000789,0.00000748,100.00000000,0.00000747,5854.00000000,0.00000750,2323.20000000,0.00000788,0.00000838,0.00000726,307358.10000000,2.39764670,1700564506408,1700650906408,1627250,1629555,2306
BNXBNB,-0.00002100,-1.683,0.00123559,0.00126900,0.00122700,2084.30000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00124800,0.00125600,0.00119900,30474.90000000,37.65435300,1700103618413,1700190018413,357300,357536,237
BNXBUSD,-0.00470000,-1.685,0.26569657,0.27820000,0.27430000,36.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.27900000,0.34800000,0.25010000,1024560.10000000,272222.10802000,1699498812859,1699585212859,5413412,5415851,2440
BNXUSDT,-0.02110000,-7.138,0.28560797,0.29560000,0.27450000,383.40000000,0.27440000,452.40000000,0.27450000,55.70000000,0.29560000,0.30200000,0.26270000,15970786.50000000,4561383.88215000,1700564506844,1700650906844,20357790,20389299,31510
RGTUSDT,0.00000000,0.000,0.00000000,14.44000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572382654,1689658782654,-1,-1,0
RGTBTC,0.00000000,0.000,0.00000000,0.00037960,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572382654,1689658782654,-1,-1,0
RGTBUSD,0.00000000,0.000,0.00000000,14.46000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572382654,1689658782654,-1,-1,0
RGTBNB,0.00000000,0.000,0.00000000,0.03997000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572382654,1689658782654,-1,-1,0
LAZIOBUSD,-0.00600000,-0.364,1.63849530,1.65000000,1.64400000,368.77000000,0.00000000,0.00000000,0.00000000,0.00000000,1.65000000,1.65300000,1.62700000,14069.03000000,23052.03958000,1697090451311,1697176851311,5754319,5754558,240
OXTBUSD,0.00000000,0.000,0.00000000,0.05130000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572382654,1689658782654,-1,-1,0
MANATRY,-0.70000000,-5.728,11.59593890,12.21000000,11.52000000,48.30000000,11.52000000,3643.60000000,11.53000000,7028.40000000,12.22000000,12.22000000,10.90000000,1544775.80000000,17913125.78500000,1700564505205,1700650905205,9271860,9276858,4999
ALGORUB,0.53000000,4.391,12.25430824,12.20000000,12.60000000,10.00000000,0.00000000,0.00000000,0.00000000,0.00000000,12.07000000,12.69000000,12.07000000,17107.70000000,209643.02900000,1700362804750,1700449204750,229197,229228,32
SHIBUAH,0.00000000,0.000,0.00000000,0.00079300,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00000000,0.00000000,0.00,0.00000000,1689572382654,1689658782654,-1,-1,0
LUNABIDR,0.00,0.000,0.00,0.88,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00,0.00,0.00000000,0.00,1689572382654,1689658782654,-1,-1,0
AUDUSDC,0.00000000,0.000,0.00000000,0.64770000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572382654,1689658782654,-1,-1,0
MOVRBTC,-0.00000260,-1.410,0.00019636,0.00018560,0.00018180,101.98000000,0.00018050,4.40000000,0.00018190,73.43600000,0.00018440,0.00023000,0.00017040,146679.33300000,28.80132929,1700564506403,1700650906403,1816476,1828445,11970
MOVRBNB,0.00000000,0.000,0.00000000,0.15520000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572382654,1689658782654,-1,-1,0
MOVRBUSD,0.01200000,0.326,3.66765539,3.67200000,3.69000000,16.69800000,0.00000000,0.00000000,0.00000000,0.00000000,3.67800000,3.73000000,3.59600000,4835.76200000,17735.90857700,1697698827503,1697785227503,2545860,2546036,177
MOVRUSDT,-0.28800000,-4.159,7.17562546,6.93500000,6.63700000,10.38900000,6.63700000,7.59700000,6.64100000,27.58300000,6.92500000,8.20000000,6.13200000,6152765.45500000,44149940.42257000,1700564506841,1700650906841,10719877,10992857,272981
CITYBTC,-0.00000160,-2.054,0.00007632,0.00007780,0.00007630,3.96000000,0.00007580,1.32000000,0.00007630,2.64000000,0.00007790,0.00007900,0.00007390,8967.41000000,0.68437800,1700564496827,1700650896827,1149205,1150801,1597
CITYBNB,0.00000000,0.000,0.00000000,0.01454000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572382654,1689658782654,-1,-1,0
CITYBUSD,0.01000000,0.339,2.95046789,2.95400000,2.96400000,141.28000000,0.00000000,0.00000000,0.00000000,0.00000000,2.95400000,2.98700000,2.91900000,7425.74000000,21909.40746000,1694062817175,1694149217175,1716149,1716332,184
CITYUSDT,-0.13800000,-4.721,2.82230215,2.92400000,2.78500000,14.66000000,2.78000000,274.94000000,2.78500000,8.50000000,2.92300000,2.93100000,2.67900000,183385.16000000,517568.33082000,1700564499893,1700650899893,7285675,7290805,5131
ENSBTC,-0.00001060,-4.577,0.00022223,0.00023290,0.00022100,2.70000000,0.00022150,59.13000000,0.00022180,60.01000000,0.00023160,0.00023160,0.00021200,12816.43000000,2.84820546,1700564506498,1700650906498,3097853,3099359,1507
ENSBNB,0.00128000,3.853,0.03288916,0.03330000,0.03450000,14.53000000,0.03442000,60.00000000,0.03451000,142.34000000,0.03322000,0.03480000,0.03122000,27550.93000000,906.12706440,1700564506261,1700650906261,348038,350339,2302
ENSBUSD,-0.16000000,-2.247,6.98095678,7.10000000,6.96000000,29.49000000,0.00000000,0.00000000,0.00000000,0.00000000,7.12000000,7.12000000,6.82000000,3799.21000000,26522.12080000,1697090430761,1697176830761,5590485,5590903,419
ENSUSDT,-0.56000000,-6.452,8.15967820,8.68000000,8.12000000,4.94000000,8.12000000,55.64000000,8.13000000,1529.25000000,8.68000000,8.69000000,7.70000000,853512.54000000,6964387.66650000,1700564506870,1700650906870,34172481,34220680,48200
SANDETH,-0.00001300,-6.436,0.00019429,0.00020170,0.00018900,42.00000000,0.00018850,3521.10000000,0.00018880,1012.70000000,0.00020200,0.00020200,0.00018760,147303.60000000,28.61926068,1700564492998,1700650892998,1698630,1699334,705
DOTETH,-0.00006800,-2.632,0.00253761,0.00258400,0.00251600,39.85000000,0.00251500,236.90000000,0.00251900,80.40000000,0.00258400,0.00260100,0.00248200,36633.94000000,92.96262534,1700564506907,1700650906907,1551295,1552833,1539
MATICETH,-0.00001950,-4.925,0.00038175,0.00039580,0.00037640,52.80000000,0.00037650,947.20000000,0.00037670,12.30000000,0.00039590,0.00039760,0.00037010,1552341.30000000,592.60938973,1700564507132,1700650907132,3272662,3278756,6095
ANKRBUSD,-0.00011000,-0.574,0.01910747,0.01916000,0.01906000,5249.30000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01917000,0.01937000,0.01881000,1318997.30000000,25202.70628300,1696482015991,1696568415991,3266956,3267129,174
SANDTRY,-0.71000000,-5.992,11.27218054,11.84000000,11.14000000,1672.30000000,11.13000000,2788.10000000,11.14000000,103.90000000,11.85000000,11.86000000,10.64000000,1297004.20000000,14620065.50000000,1700564504521,1700650904521,7222759,7226856,4098
MANABRL,-0.03900000,-2.294,1.67259205,1.72400000,1.66100000,9.20000000,0.00000000,0.00000000,0.00000000,0.00000000,1.70000000,1.71600000,1.62100000,13684.60000000,22888.75320000,1692165610331,1692252010331,631678,631790,113
KP3RUSDT,-3.83000000,-5.165,69.40805807,74.16000000,70.32000000,0.12000000,70.28000000,3.15000000,70.44000000,4.71000000,74.15000000,74.30000000,65.02000000,54336.78000000,3771410.38160000,1700564507043,1700650907043,15165425,15227633,62209
QIUSDT,-0.00055000,-6.716,0.00752902,0.00818000,0.00764000,15000.00000000,0.00764000,43912.00000000,0.00766000,61808.00000000,0.00819000,0.00820000,0.00700000,243649318.00000000,1834440.98057000,1700564500994,1700650900994,13627080,13639048,11969
QIBUSD,0.00012000,2.424,0.00493817,0.00491000,0.00507000,23592.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00495000,0.00507000,0.00487000,2126091.00000000,10499.00938000,1697698832340,1697785232340,4309023,4309105,83
QIBNB,0.00000000,0.000,0.00000000,0.00009910,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572382654,1689658782654,-1,-1,0
QIBTC,-0.00000001,-4.545,0.00000020,0.00000021,0.00000021,476.00000000,0.00000020,4127346.00000000,0.00000021,1222208.00000000,0.00000022,0.00000022,0.00000019,17285875.00000000,3.47812940,1700564464482,1700650864482,1469237,1469763,527
PORTOBTC,-0.00000302,-6.196,0.00004612,0.00004831,0.00004572,14.41000000,0.00004580,119.08000000,0.00004591,38.83000000,0.00004874,0.00004926,0.00004458,39504.82000000,1.82198477,1700564506643,1700650906643,1696457,1697176,720
PORTOUSDT,-0.14100000,-7.743,1.70821775,1.82300000,1.68000000,4.57000000,1.67900000,132.68000000,1.68000000,27.39000000,1.82100000,1.82800000,1.61700000,643360.19000000,1098999.29495000,1700564499825,1700650899825,16082560,16093546,10987
PORTOTRY,-4.25000000,-8.007,50.04374534,53.08000000,48.83000000,409.90000000,48.87000000,399.76000000,48.94000000,310.25000000,53.08000000,53.22000000,47.24000000,230669.12000000,11543546.69940000,1700564479337,1700650879337,10124842,10128270,3429
PORTOEUR,-0.10400000,-6.353,1.61591501,1.65200000,1.53300000,131.38000000,1.54000000,59.65000000,1.54800000,209.34000000,1.63700000,1.64500000,1.49200000,17798.67000000,28761.13808000,1700564406649,1700650806649,355765,356054,290
POWRUSDT,-0.00250000,-0.912,0.27107563,0.27400000,0.27160000,2097.00000000,0.27140000,90.00000000,0.27160000,3849.00000000,0.27410000,0.28420000,0.25430000,35559712.00000000,9639371.15840000,1700564507189,1700650907189,10708169,10772594,64426
